muscle,F_max,l_opt,l_slack,v_max,W,C,N,K,E_REF
addbrev_r,584.236586571704,0.10240840968869457,0.03481194878291155,10.000000000000002,0.7119353263915825,-2.45608228568893,1.5000000000000002,5.000000000000001,0.040000000002487504
addlong_r,855.3647163554829,0.10572938250757181,0.1299649601872208,10.000000001714831,0.7611534615927421,-3.349697281709011,1.5000000002572245,5.0000000008574155,0.04000000008735279
addmagDist_r,550.5791175512761,0.16875690713517985,0.08568877401844505,10.00000000081277,0.785086448318339,-3.2405084801026085,1.5000000001219154,5.000000000406384,0.04000000007932758
addmagIsch_r,550.4973036145474,0.17180436778599154,0.19892943517967354,10.000000000000012,0.6472135216941022,-2.396726946776097,1.5000000000000129,5.000000000000013,0.040000000000000056
addmagMid_r,550.4928915749892,0.1312664935197346,0.04580387381034973,10.000000015343877,0.7872087330577325,-3.241988348266207,1.5000000146170311,5.000000014916321,0.04000000007976538
addmagProx_r,538.0551182613211,0.09928665619497044,0.03888917155492365,10.000000076248476,0.8005934811332605,-3.1009570615499267,1.500000076044549,5.000000076128519,0.04000000007493344
bflh_r,1206.2880395064635,0.09542045739652004,0.3257093299119349,10.00000005600175,0.7220534759555401,-2.35624387455715,1.5000000560017455,5.000000056001742,0.040000099455057385
bfsh_r,503.4740319090589,0.1047214374730684,0.10264778906064632,10.000000099504987,0.7743957912896954,-2.8146987830906247,1.500000099500737,5.000000099502487,0.040000000069403574
edl_r,545.109732596365,0.0761742952009894,0.3606594567375691,10.0000000004975,0.6392720936244161,-2.1864338673644843,1.5000000004975,5.0000000004975,0.04000000000000001
ehl_r,260.09831090220905,0.08226612706876858,0.3181650720032479,10.000000000499591,0.6399831306676861,-2.245837135718902,1.5000000004995917,5.0000000004995915,0.04000000000000001
fdl_r,381.0159853114674,0.0446644303964724,0.37754788914734433,10.000000099999998,0.7106307176008355,-2.2956447487653384,1.500000099999999,5.000000099999999,0.04000004907351929
fhl_r,809.6357980140316,0.05271804195490936,0.3526390489331718,10.000000000073113,0.706040200410631,-2.1484079131679232,1.500000000073113,5.000000000073113,0.040000003339170545
gaslat_r,1463.3101510281167,0.05920006677647216,0.374076627637291,10.000000035258624,0.7171310827001639,-2.6801719948725897,1.5000000347027638,5.000000034931648,0.04000000040287675
gasmed_r,2867.668998478368,0.05108894290227299,0.39774006617138685,10.000000043454245,0.7102714118432463,-2.5406381158259705,1.5000000425731543,5.000000042935957,0.04000002093429085
glmax1_r,877.8682168966319,0.1391313078927983,0.04755684853875218,10.000000099987227,0.8070733901601549,-3.0527664284582277,1.5000000999871181,5.000000099987163,0.04000000007330235
glmax2_r,1248.7944040171396,0.14686729217834285,0.06483409041145502,10.000000001371218,0.8052015237888661,-2.983019658599645,1.5000000002056828,5.000000000685609,0.04000000007119226
glmax3_r,838.8397585232136,0.15593847893823712,0.06642991838316638,10.000000099953507,0.8059272429819103,-2.9685668095791016,1.5000000999531087,5.000000099953273,0.0400000000706567
glmed1_r,978.6238205012492,0.0684913344469176,0.05348922889182131,10.000000000005,0.797106069269499,-2.9944052258093743,1.50000000000075,5.0000000000025,0.04000000007363503
glmed2_r,683.2438795950665,0.06894620988126925,0.06286677533754104,10.000000099903914,0.7822299140268658,-2.7379309068901523,1.5000000999030907,5.00000009990343,0.04000000006811858
