muscle,F_max,l_opt,l_slack,v_max,W,C,N,K,E_REF
abd_r,4412.638657804323,0.08356528403639342,0.05236007029452585,15.0000000000075,0.9904155693670136,-3.10407324054727,1.50000000000075,5.0000000000025,0.04000000069801737
add_r,3739.575245543567,0.08643201500199678,0.05756362751630232,15.00000000065563,0.998731006807684,-3.5758972992724565,1.500000000065563,5.0000000002185425,0.04000003546077916
bifemsh_r,506.0056125793233,0.10363608870242304,0.11597053405896232,15.00000009949428,0.9693394558725834,-3.020084332017306,1.5000000994875273,5.000000099489277,0.04000008825238432
gastroc_r,3852.9552387970775,0.051735888712307714,0.3915853668051313,15.000000099529235,0.8129058056142818,-1.8447569804290884,1.5000000995266551,5.000000099527329,0.04000005166014792
glut_max_r,3284.7043752638187,0.14566415923549744,0.04672584948918784,15.000000099507497,1.24829024364007,-2.6909335961874534,1.5000000995007472,5.000000099502498,0.04000000007590176
hamstrings_r,3747.579709729577,0.06966152818239371,0.3441933785812819,15.000000057749006,1.135722199118494,-5.0103314047796745,1.5000000571699255,5.000000057320056,0.04000001325167194
iliopsoas_r,2653.902663994642,0.11536861466804797,0.12803781646558804,15.000000035301111,0.9854181551401423,-2.9913884260078203,1.5000000344143762,5.000000034644271,0.04000000019875458
rect_fem_r,2002.5775849316321,0.0751813079318362,0.34410319757190605,15.000000000000002,1.3116909982094023,-7.873378027400472,1.5000000000000002,5.000000000000001,0.0400000158017545
soleus_r,6561.094814719196,0.04445966249672186,0.24741180656835665,15.00000000015588,0.8268371202248355,-2.0748756020223946,1.5000000000155882,5.000000000051961,0.04000007066988079
tib_ant_r,1983.5454622596653,0.06711909597575752,0.23709434236627594,15.000000000000002,0.9978203858354787,-3.2496731759826583,1.5000000000000002,5.000000000000001,0.040000099754946505
vasti_r,9206.024707233522,0.09666721731841946,0.09840902580937998,15.0000000000081,1.4857743324166452,-7.628977980163898,1.5000000000080997,5.000000000008099,0.04000000009325806
