muscle,F_max,l_opt,l_slack,v_max,W,C,N,K,E_REF
abd_r,4460.290514202683,0.08445708511292052,0.05287923869504264,15.000000001499993,0.5861958406514894,-2.9952080187985017,1.500000000150019,5.0000000005,0.040000000099962636
add_r,3931.8000287266213,0.08696289808216477,0.05988562560767897,15.000000001499993,0.5825498195531252,-2.9952819551283127,1.5000000001500176,5.0000000005,0.04000000009996533
bifemsh_r,557.1148000066152,0.1099459584927471,0.11673880347977253,15.00000000149999,0.5934214774123119,-2.995059224164801,1.5000000001500329,5.0000000005000045,0.04000000009992027
gastroc_r,3692.975075365791,0.052467154516590855,0.38821801435277314,15.0000000352655,0.560336232078414,-2.846413955858967,1.5000000001579503,5.0000000036341365,0.04000004900896987
glut_max_r,3337.583632946607,0.15696389662533886,0.04795103385502101,15.000000001499993,0.5815165746053493,-2.9953028425319093,1.5000000001500176,5.000000000500001,0.04000000009998413
hamstrings_r,4105.465584668807,0.06899194372633059,0.34884807567857895,15.000000001499998,0.563906012470465,-2.9956552603945714,1.5000000001500076,5.0000000005,0.04000000009994139
iliopsoas_r,2697.344262,0.117,0.13,15.0000000015,0.56,-2.995732274,1.50000000015,5.0000000005,0.0400000001
rect_fem_r,2191.740985860832,0.07599823436430898,0.34597010015804175,15.0000000015,0.5608479788732847,-2.9957155605837524,1.5000000001500016,5.0000000005,0.04000000009998797
soleus_r,7529.662742301735,0.04498743448536937,0.2620985165806465,15.000000016898314,0.04193867923213025,-3.1636773031111765,1.5000000102855713,5.000000099509072,0.04000001243447753
tib_ant_r,2116.818183170652,0.06798110713837768,0.2377428968361216,15.000000001499997,0.5697035709676963,-2.995540508107105,1.5000000001500249,5.0000000005,0.040000000099904655
vasti_r,9593.950862813123,0.0989481516054541,0.10175650748118564,15.000000001499991,0.5924816694961442,-2.9950819641821433,1.5000000001500287,5.000000000500003,0.04000000009993115
