muscle,max_isometric_force,optimal_fiber_length,tendon_slack_length,max_contraction_velocity
addbrev_r,625.819672131148,0.10310000000836027,0.03545029132755063,10.0
addlong_r,916.8,0.10820000003526961,0.1317993633849882,10.0
addmagDist_r,597.295081967214,0.17719999980994516,0.08738069536805304,10.0
addmagIsch_r,597.295081967214,0.15619999986938368,0.21634302327343438,10.0
addmagMid_r,597.295081967214,0.13769999985931536,0.046627699859408046,10.0
addmagProx_r,597.295081967214,0.10559999997795093,0.04032409791484791,10.0
bflh_r,1313.18360655738,0.09760050029329186,0.3325,10.0
bfsh_r,557.11475409836,0.11030072513105804,0.10581791424960163,10.0
edl_r,603.4981556,0.06929999999341888,0.36887524543019445,10.0
ehl_r,285.8675474,0.0747999999917401,0.32679527950110016,10.0
fdl_r,423.177049180328,0.04460000000093839,0.3787728568018114,10.0
fhl_r,907.839344262294,0.05270000000205144,0.35433967685061135,10.0
gaslat_r,1575.05901639344,0.069,0.374,10.0
gasmed_r,3115.51475409836,0.059,0.387,10.0
glmax1_r,983.783606557378,0.14699999985077486,0.0873,10.0
glmax2_r,1406.04590163935,0.15699999979493634,0.109,10.0
glmax3_r,947.754098360656,0.16699999962441678,0.103,10.0
glmed1_r,1093.4667688,0.0765,0.0585,10.0
glmed2_r,765.0916616,0.084,0.07545,10.0
glmed3_r,871.1992642,0.0781,0.0484,10.0
glmin1_r,374.045901639344,0.0813,0.0193,10.0
glmin2_r,394.819672131148,0.0687,0.03202,10.0
glmin3_r,446.773770491804,0.0353,0.0472,10.0
grac_r,281.311475409836,0.22780083649497473,0.1720144422091848,10.0
iliacus_r,1021.14098360656,0.10660000009399155,0.09612070848307752,10.0
perbrev_r,521.2015988,0.045400000001609125,0.14752753396176685,10.0
perlong_r,1115.3714214,0.05080000000136352,0.33222076264689515,10.0
piri_r,1029.7868852459,0.026000000002415362,0.11490623835345963,10.0
psoas_r,1426.79016393443,0.11690000005443217,0.0995431659018586,10.0
recfem_r,2191.74098360656,0.07589948570776486,0.4504,10.0
sart_r,249.413114754098,0.4030005606751179,0.12400000270958665,10.0
semimem_r,2200.9868852459,0.086,0.335,10.0
semiten_r,591.295081967214,0.19300118447397843,0.24720046213967523,10.0
soleus_r,6194.84262295082,0.0440000000064923,0.28135,10.0
tfl_r,411.20655737705,0.09315,0.44075,10.0
tibant_r,1227.45245901639,0.06829999998904245,0.2404610263707892,10.0
tibpost_r,1730.15409836065,0.03780000000121245,0.2807796138929601,10.0
vasint_r,1697.36065573771,0.117,0.205,10.0
vaslat_r,5148.76721311476,0.117,0.221,10.0
vasmed_r,2747.82295081966,0.11,0.208,10.0
