muscle,max_isometric_force,optimal_fiber_length,tendon_slack_length,max_contraction_velocity
addbrev_r,625.819672131148,0.1031,0.035450291324676,10.0
addlong_r,916.8,0.1082,0.131799363342026,10.0
addmagDist_r,597.295081967214,0.1772,0.0873806954617727,10.0
addmagIsch_r,597.295081967214,0.1562,0.216343023454343,10.0
addmagMid_r,597.295081967214,0.1377,0.0466276999070464,10.0
addmagProx_r,597.295081967214,0.1056,0.0403240979232675,10.0
bflh_r,1313.18360655738,0.0976,0.325226647516457,10.0
bfsh_r,557.11475409836,0.1103,0.105817218589115,10.0
edl_r,603.4981556,0.0693,0.368875245465225,10.0
ehl_r,285.8675474,0.0748,0.326795279537187,10.0
fdl_r,423.177049180328,0.0446,0.378772856793842,10.0
fhl_r,907.839344262294,0.0527,0.354339676836818,10.0
gaslat_r,1575.05901639344,0.0588,0.376070169933794,10.0
gasmed_r,3115.51475409836,0.051,0.398716332626429,10.0
glmax1_r,983.783606557378,0.147,0.0488408889462853,10.0
glmax2_r,1406.04590163935,0.157,0.0678871511792641,10.0
glmax3_r,947.754098360656,0.167,0.0697166058843707,10.0
glmed1_r,1093.4667688,0.073,0.0558168319436554,10.0
glmed2_r,765.0916616,0.073,0.0652488111992348,10.0
glmed3_r,871.1992642,0.073,0.0452328436013583,10.0
glmin1_r,374.045901639344,0.068,0.0161377823749703,10.0
glmin2_r,394.819672131148,0.056,0.0260990524098789,10.0
glmin3_r,446.773770491804,0.038,0.0508725,10.0
grac_r,281.311475409836,0.2278,0.172013810564373,10.0
iliacus_r,1021.14098360656,0.1066,0.0961207083983258,10.0
perbrev_r,521.2015988,0.0454,0.147527533956538,10.0
perlong_r,1115.3714214,0.0508,0.332220762637978,10.0
piri_r,1029.7868852459,0.026,0.114906238342785,10.0
psoas_r,1426.79016393443,0.1169,0.0995431658555083,10.0
recfem_r,2191.74098360656,0.0759,0.448493537399412,10.0
sart_r,249.413114754098,0.403,0.123999830194402,10.0
semimem_r,2200.9868852459,0.069,0.347585979533214,10.0
semiten_r,591.295081967214,0.193,0.24719894503751,10.0
soleus_r,6194.84262295082,0.044,0.276755872375976,10.0
tfl_r,411.20655737705,0.095,0.449497053805428,10.0
tibant_r,1227.45245901639,0.0683,0.240461026409367,10.0
tibpost_r,1730.15409836065,0.0378,0.280779613883954,10.0
vasint_r,1697.36065573771,0.0993,0.202210670345763,10.0
vaslat_r,5148.76721311476,0.0994,0.220601284834603,10.0
vasmed_r,2747.82295081966,0.0968,0.199904270842317,10.0
